Segment,Country,Product,Discount Band,Units Sold,Procurement,Manufacturing Price Parsed,Sale Price Parsed,Budget Parsed,Discounts Parsed,Sales Parsed,COGS Parsed,Sales_MA_3,Date_ISO
Government,Germany,Montana,Medium,1460,189800,5,350,511000,30660,480340,379600,328344,2019-04-28
Small Business,Canada,Amarilla,High,888,111000,260,300,266400,37296,229104,222000,334479,2019-04-29
Enterprise,United States of America,Paseo,Medium,2992,179520,10,125,374000,18700,355300,359040,354915,2019-04-29
Government,Canada,Amarilla,Low,1778,231140,260,350,622300,24892,597408,462280,393937,2019-04-29
Government,Germany,Amarilla,Low,2966,385580,260,350,1038100,20762,1017338,771160,656682,2019-04-29
Midmarket,United States of America,Paseo,High,1767,8835,10,15,26505,3710,22794,17670,545847,2019-04-29
Midmarket,Canada,Amarilla,Medium,1630,8152,260,15,24457,2201,22256,16305,354129,2019-04-30
Government,Mexico,Carretera,Low,1397,181610,3,350,488950,4889,484060,363220,176370,2019-05-01
Small Business,Mexico,Paseo,Medium,2460,307500,10,300,738000,59040,678960,615000,395092,2019-05-01
Small Business,Mexico,Carretera,High,801,100125,3,300,240300,33642,206658,200250,456559,2019-05-01
Government,United States of America,Paseo,Low,274,35620,10,350,95900,3836,92064,71240,325894,2019-05-01
Channel Partners,Germany,Montana,Medium,2342,3513,5,12,28104,1405,26698,7026,108473,2019-05-01
Government,United States of America,Paseo,High,2641,13205,10,20,52820,6866,45953,26410,54905,2019-05-01
Government,France,Velo,High,1190,2975,120,7,8330,1082,7247,5950,26633,2019-05-01
Government,Mexico,Paseo,High,1197,155610,10,350,418950,50274,368676,311220,140625,2019-05-02
Government,United States of America,Amarilla,Medium,2907,7267,260,7,20349,1627,18721,14535,131548,2019-05-02
Government,Mexico,Amarilla,Medium,1038,5190,260,20,20760,1868,18891,10380,135429,2019-05-02
Government,United States of America,Carretera,Low,274,35620,3,350,95900,3836,92064,71240,43225,2019-05-03
Government,Mexico,Amarilla,Medium,1683,4207,260,7,11781,589,11191,8415,40715,2019-05-03
Midmarket,Mexico,Montana,Low,2031,10155,5,15,30465,1218,29246,20310,44167,2019-05-03
Midmarket,Germany,Velo,High,510,2550,120,15,7650,765,6885,5100,15774,2019-05-03
Midmarket,Canada,Paseo,High,1565,7825,10,15,23475,3051,20423,15650,18851,2019-05-03
Government,Mexico,VTT,Low,1397,181610,250,350,488950,4889,484060,363220,170456,2019-05-04
Channel Partners,United States of America,Paseo,Low,1142,1713,10,12,13704,274,13429,3426,172637,2019-05-04
Midmarket,Germany,Velo,High,510,2550,120,15,7650,765,6885,5100,168125,2019-05-04
Government,France,Montana,Medium,1403,3507,5,7,9821,589,9231,7015,9848,2019-05-04
Government,France,Velo,Medium,1496,194480,120,350,523600,31416,492184,388960,169433,2019-05-04
Government,Germany,Montana,High,1199,155870,5,350,419650,58751,360899,311740,287438,2019-05-04
Enterprise,Germany,VTT,Low,1570,94200,250,125,196250,5887,190362,188400,347815,2019-05-05
Channel Partners,Mexico,Paseo,Medium,2763,4144,10,12,33156,2320,30835,8289,194032,2019-05-06
Government,Germany,Montana,Medium,1460,189800,5,350,511000,30660,480340,379600,233846,2019-05-06
Government,Mexico,Amarilla,High,2039,10195,260,20,40780,4078,36702,20390,182626,2019-05-06
Enterprise,Mexico,Paseo,Medium,1114,66840,10,125,139250,11140,128110,133680,215051,2019-05-06
Small Business,France,Montana,High,1773,221625,5,300,531900,63828,468072,443250,210961,2019-05-07
Government,United States of America,Velo,Medium,2832,14160,120,20,56640,2832,53808,28320,216663,2019-05-07
Government,Canada,Paseo,High,1249,6245,10,20,24980,3247,21732,12490,181204,2019-05-07
Small Business,Canada,Carretera,High,1496,187000,3,300,448800,62832,385968,374000,153836,2019-05-08
Midmarket,Germany,VTT,Low,1945,9725,250,15,29175,875,28299,19450,145333,2019-05-08
Government,Mexico,Carretera,High,2579,12895,3,20,51580,7221,44358,25790,152875,2019-05-08
Small Business,Mexico,Paseo,None,788,98500,10,300,236400,0,236400,197000,103019,2019-05-08
Channel Partners,Canada,Amarilla,High,2761,4141,260,12,33132,3975,29156,8283,103305,2019-05-09
Small Business,France,Velo,Medium,386,48250,120,300,115800,9264,106536,96500,124031,2019-05-09
Government,Germany,VTT,High,280,700,250,7,1960,274,1685,1400,45792,2019-05-10
Midmarket,United States of America,Paseo,High,1767,8835,10,15,26505,3710,22794,17670,43672,2019-05-10
Enterprise,France,Paseo,Low,2988,179280,10,125,373500,14940,358560,358560,127680,2019-05-11
Government,Mexico,Carretera,Medium,1834,9170,3,20,36680,2567,34112,18340,138489,2019-05-11
Midmarket,Canada,Paseo,Low,2363,11815,10,15,35445,708,34736,23630,142469,2019-05-11
Government,United States of America,Paseo,High,1177,153010,10,350,411950,57673,354277,306020,141042,2019-05-11
Enterprise,France,Velo,None,1804,108240,120,125,225500,0,225500,216480,204838,2019-05-12
Enterprise,Canada,Montana,None,345,20700,5,125,43125,0,43125,41400,207634,2019-05-12
Channel Partners,Canada,Carretera,Medium,1884,2826,3,12,22608,1582,21025,5652,96550,2019-05-12
Channel Partners,France,Paseo,High,1393,2089,10,12,16716,2340,14375,4179,26175,2019-05-12
Midmarket,Canada,VTT,Medium,2844,14220,250,15,42660,2559,40100,28440,25167,2019-05-12
Midmarket,France,Amarilla,Low,321,1605,260,15,4815,48,4766,3210,19747,2019-05-13
Enterprise,France,Carretera,High,1482,88920,3,125,185250,18525,166725,177840,70530,2019-05-13
Channel Partners,United States of America,Carretera,High,386,579,3,12,4632,463,4168,1158,58553,2019-05-13
Channel Partners,France,Paseo,Low,1901,2851,10,12,22812,684,22127,5703,64340,2019-05-13
Small Business,Mexico,Carretera,High,801,100125,3,300,240300,33642,206658,200250,77651,2019-05-13
Small Business,United States of America,Montana,Low,2301,287625,5,300,690300,6903,683397,575250,304061,2019-05-13
Small Business,Germany,Paseo,Low,1728,216000,10,300,518400,10368,508032,432000,466029,2019-05-14
Channel Partners,Mexico,Velo,High,410,615,120,12,4920,639,4280,1230,398570,2019-05-14
Midmarket,France,Paseo,None,549,2745,10,15,8235,0,8235,5490,173516,2019-05-14
Midmarket,United States of America,Carretera,Medium,2030,10150,3,15,30450,1827,28623,20300,13713,2019-05-14
Government,Canada,Paseo,High,2394,11970,10,20,47880,5266,42613,23940,26490,2019-05-14
Government,Canada,Paseo,Low,2074,10370,10,20,41480,1659,39820,20740,37019,2019-05-15
Small Business,France,Carretera,Medium,448,56000,3,300,134400,9408,124992,112000,69142,2019-05-15
Enterprise,Germany,Paseo,Low,795,47700,10,125,99375,3975,95400,95400,86737,2019-05-15
Enterprise,United States of America,Velo,Medium,861,51660,120,125,107625,5381,102243,103320,107545,2019-05-15
Government,United States of America,Amarilla,Medium,1282,6410,260,20,25640,2051,23588,12820,73744,2019-05-15
Government,Canada,Velo,Low,2646,13230,120,20,52920,2116,50803,26460,58878,2019-05-15
Enterprise,France,Carretera,Low,4243,254610,3,125,530437,15913,514524,509220,196305,2019-05-16
Channel Partners,United States of America,Paseo,Low,1142,1713,10,12,13704,274,13429,3426,192919,2019-05-16
Government,United States of America,Carretera,Medium,1761,228930,3,350,616350,43144,573205,457860,367053,2019-05-16
Midmarket,France,Montana,Medium,2501,12505,5,15,37515,3001,34513,25010,207049,2019-05-16
Government,Canada,VTT,High,623,80990,250,350,218050,26166,191884,161980,266534,2019-05-16
Small Business,Canada,VTT,Medium,2134,266750,250,300,640200,51216,588984,533500,271794,2019-05-16
Small Business,United States of America,Velo,High,2294,286750,120,300,688200,68820,619380,573500,466749,2019-05-16
Government,Mexico,Paseo,High,2851,370630,10,350,997850,149677,848172,741260,685512,2019-05-16
Midmarket,Mexico,Carretera,None,2470,12350,3,15,37050,0,37050,24700,501534,2019-05-17
Enterprise,Germany,Velo,Medium,807,48420,120,125,100875,5043,95831,96840,327018,2019-05-17
Midmarket,Canada,VTT,High,1565,7825,250,15,23475,3051,20423,15650,51101,2019-05-17
Enterprise,Germany,Paseo,Low,1570,94200,10,125,196250,5887,190362,188400,102205,2019-05-17
Midmarket,Mexico,VTT,High,641,3205,250,15,9615,961,8653,6410,73146,2019-05-18
Enterprise,France,Montana,Low,1287,77220,5,125,160875,4826,156048,154440,118354,2019-05-18
Small Business,Germany,VTT,Low,214,26750,250,300,64200,1284,62916,53500,75872,2019-05-19
Government,Mexico,Montana,Medium,720,93600,5,350,252000,12600,239400,187200,152788,2019-05-19
Government,United States of America,Velo,High,986,128180,120,350,345100,41412,303688,256360,202001,2019-05-19
Government,Germany,Velo,High,2665,6662,120,7,18655,1865,16789,13325,186626,2019-05-19
Enterprise,Canada,Amarilla,Medium,1645,98700,260,125,205625,14393,191231,197400,170569,2019-05-19
Government,Germany,Paseo,High,1531,7655,10,20,30620,3674,26945,15310,78322,2019-05-20
Government,Germany,Montana,High,2992,14960,5,20,59840,6582,53257,29920,90478,2019-05-20
Channel Partners,Germany,VTT,Low,2479,3718,250,12,29748,892,28855,7437,36352,2019-05-20
Government,Germany,Montana,Medium,1460,189800,5,350,511000,30660,480340,379600,187484,2019-05-21
Government,United States of America,Paseo,High,267,1335,10,20,5340,801,4539,2670,171245,2019-05-21
Midmarket,United States of America,Paseo,Low,1514,7570,10,15,22710,227,22482,15140,169120,2019-05-21
Enterprise,Mexico,Paseo,Low,1823,109380,10,125,227875,2278,225596,218760,84206,2019-05-21
Channel Partners,Germany,Paseo,None,367,550,10,12,4404,0,4404,1101,84161,2019-05-21
Small Business,Canada,Velo,Medium,3793,474187,120,300,1138050,102424,1035625,948375,421875,2019-05-21
Enterprise,United States of America,Carretera,High,3445,206730,3,125,430687,43068,387618,413460,475882,2019-05-22
Enterprise,Canada,Velo,Medium,567,34020,120,125,70875,6378,64496,68040,495913,2019-05-22
Government,Mexico,Montana,High,1715,8575,5,20,34300,4116,30184,17150,160766,2019-05-22
Government,Germany,Velo,Low,2877,374010,120,350,1006950,20139,986811,748020,360497,2019-05-23
Government,Germany,Velo,Medium,1307,169910,120,350,457450,41170,416279,339820,477758,2019-05-23
Enterprise,Canada,Carretera,Low,742,44550,3,125,92812,1856,90956,89100,498015,2019-05-24
Government,United States of America,Amarilla,High,270,35100,260,350,94500,11340,83160,70200,196798,2019-05-24
Small Business,Germany,VTT,Low,214,26750,250,300,64200,1284,62916,53500,79011,2019-05-24
Small Business,Mexico,Velo,Medium,635,79375,120,300,190500,15240,175260,158750,107112,2019-05-24
Channel Partners,Canada,Carretera,Medium,1884,2826,3,12,22608,1582,21025,5652,86400,2019-05-24
Government,Germany,Amarilla,Medium,1366,6830,260,20,27320,2185,25134,13660,73806,2019-05-25
Midmarket,Mexico,Amarilla,High,1870,9350,260,15,28050,3927,24123,18700,23427,2019-05-25
Channel Partners,United States of America,Velo,High,914,1371,120,12,10968,1645,9322,2742,19526,2019-05-25
Government,United States of America,Carretera,Low,2529,6322,3,7,17703,177,17525,12645,16990,2019-05-26
Small Business,United States of America,Amarilla,Medium,1372,171500,260,300,411600,28812,382788,343000,136545,2019-05-26
Government,Canada,Paseo,High,700,91000,10,350,245000,34300,210700,182000,203671,2019-05-26
Government,United States of America,Paseo,Medium,2327,5817,10,7,16289,814,15474,11635,202987,2019-05-26
Midmarket,Germany,Paseo,Low,1945,9725,10,15,29175,875,28299,19450,84824,2019-05-26
Enterprise,Mexico,Paseo,Low,2145,128700,10,125,268125,5362,262762,257400,102178,2019-05-27
Government,France,Paseo,High,1594,207220,10,350,557900,66948,490952,414440,260671,2019-05-27
Government,Germany,Amarilla,Medium,1350,175500,260,350,472500,23625,448875,351000,400863,2019-05-27
Midmarket,United States of America,Carretera,High,2567,12835,3,15,38505,5005,33499,25670,324442,2019-05-27
Government,Germany,Amarilla,Medium,1159,2897,260,7,8113,405,7707,5795,163360,2019-05-27
Government,Mexico,Velo,Medium,1498,3745,120,7,10486,629,9856,7490,17021,2019-05-27
Government,Canada,Carretera,Low,2852,370760,3,350,998200,19964,978236,741520,331933,2019-05-27
Enterprise,Canada,VTT,High,2529,151740,250,125,316125,31612,284512,303480,424201,2019-05-28
Enterprise,United States of America,Velo,High,2438,146280,120,125,304750,45712,259037,292560,507262,2019-05-28
Small Business,Germany,Carretera,Low,689,86125,3,300,206700,6201,200499,172250,248016,2019-05-29
Government,United States of America,Paseo,Medium,2663,13315,10,20,53260,2663,50597,26630,170044,2019-05-29
Government,Canada,Velo,Medium,1582,3955,120,7,11074,775,10298,7910,87131,2019-05-29
Government,United States of America,VTT,High,986,128180,250,350,345100,41412,303688,256360,121528,2019-05-29
Government,France,Paseo,High,2696,6740,10,7,18872,2453,16418,13480,110135,2019-05-29
Midmarket,Mexico,Velo,High,655,3275,120,15,9825,1080,8744,6550,109617,2019-05-30
Channel Partners,Canada,Carretera,High,1937,2905,3,12,23244,2556,20687,5811,15283,2019-05-30
Government,Mexico,Paseo,High,2151,279630,10,350,752850,112927,639922,559260,223118,2019-05-30
Government,France,Amarilla,High,1190,2975,260,7,8330,1082,7247,5950,222619,2019-05-30
Channel Partners,United States of America,VTT,Medium,1956,2934,250,12,23472,2112,21359,5868,222843,2019-05-30
Government,France,Carretera,High,1790,232700,3,350,626500,81445,545055,465400,191220,2019-05-31
Small Business,United States of America,Velo,High,2294,286750,120,300,688200,68820,619380,573500,395265,2019-05-31
Small Business,France,Velo,Medium,1221,152625,120,300,366300,21978,344322,305250,502919,2019-05-31
Midmarket,Canada,Velo,High,384,1920,120,15,5760,633,5126,3840,322943,2019-06-02
Government,Mexico,Paseo,Medium,1038,5190,10,20,20760,1868,18891,10380,122780,2019-06-02
Government,Germany,Amarilla,Medium,1159,2897,260,7,8113,405,7707,5795,10575,2019-06-02
Enterprise,Germany,Paseo,High,1085,65100,10,125,135625,20343,115281,130200,47293,2019-06-02
Enterprise,France,Paseo,Medium,704,42240,10,125,88000,4400,83600,84480,68863,2019-06-02
Government,Canada,Amarilla,Medium,708,3540,260,20,14160,1132,13027,7080,70636,2019-06-03
Government,Germany,Carretera,None,1513,196690,3,350,529550,0,529550,393380,208726,2019-06-03
Government,Mexico,VTT,Medium,2689,6722,250,7,18823,941,17881,13445,186819,2019-06-03
Government,United States of America,Montana,High,982,127725,5,350,343875,44703,299171,255450,282201,2019-06-03
Government,France,VTT,Medium,2487,6217,250,7,17409,870,16538,12435,111197,2019-06-03
Government,France,Paseo,High,2532,6330,10,7,17724,1949,15774,12660,110494,2019-06-03
Government,United States of America,VTT,Medium,436,2182,250,20,8730,698,8031,4365,13448,2019-06-03
Small Business,United States of America,Paseo,Low,2905,363125,10,300,871500,8715,862785,726250,295530,2019-06-04
Small Business,United States of America,Paseo,High,3495,436875,10,300,1048500,125820,922680,873750,597832,2019-06-04
Small Business,France,Carretera,Medium,448,56000,3,300,134400,9408,124992,112000,636819,2019-06-04
Small Business,United States of America,Paseo,High,3495,436875,10,300,1048500,125820,922680,873750,656784,2019-06-04
Channel Partners,United States of America,Carretera,High,386,579,3,12,4632,463,4168,1158,350613,2019-06-05
Government,Germany,Paseo,Medium,1934,9670,10,20,38680,3094,35585,19340,320811,2019-06-05
Enterprise,Mexico,Paseo,Low,1138,68280,10,125,142250,5690,136560,136560,58771,2019-06-05
Enterprise,France,Velo,None,1804,108240,120,125,225500,0,225500,216480,132548,2019-06-05
Channel Partners,France,VTT,Low,866,1299,250,12,10392,415,9976,2598,124012,2019-06-05
Enterprise,Canada,Paseo,High,1583,94980,10,125,197875,25723,172151,189960,135876,2019-06-06
Small Business,Germany,Amarilla,Low,259,32375,260,300,77700,1554,76146,64750,86091,2019-06-06
Government,Canada,VTT,Medium,1582,3955,250,7,11074,775,10298,7910,86198,2019-06-06
Enterprise,United States of America,Paseo,Medium,2797,167820,10,125,349625,31466,318158,335640,134867,2019-06-06
Enterprise,Germany,Amarilla,Low,2276,136560,260,125,284500,5690,278810,273120,202422,2019-06-06
Enterprise,United States of America,Montana,Medium,3627,217620,5,125,453375,22668,430706,435240,342558,2019-06-08
Government,Mexico,VTT,Medium,1123,5615,250,20,22460,1347,21112,11230,243543,2019-06-08
Government,Germany,Paseo,Medium,2409,6022,10,7,16863,1349,15513,12045,155777,2019-06-08
Government,Mexico,VTT,Low,1397,181610,250,350,488950,4889,484060,363220,173562,2019-06-08
Channel Partners,Canada,Paseo,Low,1295,1942,10,12,15540,310,15229,3885,171601,2019-06-08
Small Business,Germany,Paseo,Medium,1123,140375,10,300,336900,23583,313317,280750,270869,2019-06-08
Small Business,Germany,Montana,Low,1859,232375,5,300,557700,22308,535392,464750,287979,2019-06-09
Government,Mexico,Carretera,Low,1397,181610,3,350,488950,4889,484060,363220,444256,2019-06-09
Enterprise,Mexico,VTT,Low,662,39720,250,125,82750,1655,81095,79440,366849,2019-06-09
Midmarket,Germany,VTT,High,1175,5875,250,15,17625,2643,14981,11750,193379,2019-06-09
Enterprise,United States of America,Velo,High,1596,95760,120,125,199500,19950,179550,191520,91875,2019-06-10
Enterprise,Germany,Carretera,High,2767,166020,3,125,345875,51881,293993,332040,162841,2019-06-10
Midmarket,Germany,Paseo,High,278,1390,10,15,4170,583,3586,2780,159043,2019-06-10
Government,United States of America,Amarilla,Medium,727,94510,260,350,254450,15267,239183,189020,178921,2019-06-11
Government,Canada,Amarilla,High,2240,291200,260,350,784000,78400,705600,582400,316123,2019-06-11
Government,United States of America,Velo,High,986,128180,120,350,345100,41412,303688,256360,416157,2019-06-11
Government,France,VTT,Medium,381,49530,250,350,133350,10668,122682,99060,377323,2019-06-11
Enterprise,United States of America,Velo,Low,663,39780,120,125,82875,828,82046,79560,169472,2019-06-12
Small Business,Germany,Paseo,High,807,100875,10,300,242100,31473,210627,201750,138452,2019-06-12
Government,France,VTT,None,1527,198510,250,350,534450,0,534450,397020,275708,2019-06-12
Government,Mexico,Carretera,High,2706,6765,3,7,18942,2083,16858,13530,253978,2019-06-12
Midmarket,United States of America,Montana,High,677,3385,5,15,10155,1218,8936,6770,186748,2019-06-12
Channel Partners,United States of America,Velo,Low,1465,2197,120,12,17580,703,16876,4395,14223,2019-06-13
Government,Mexico,VTT,Medium,1123,5615,250,20,22460,1347,21112,11230,15641,2019-06-14
Government,United States of America,VTT,High,986,128180,250,350,345100,41412,303688,256360,113892,2019-06-14
Small Business,Mexico,VTT,Medium,2747,343375,250,300,824100,57687,766413,686750,363738,2019-06-14
